일련번호,보유기술
DEV79,C#;HTML/CSS;JavaScript;Git;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server
DEV80,Kotlin;Git
DEV81,C#;HTML/CSS;JavaScript;SQL;Docker;Git;Kubernetes;Angular;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft Azure;Microsoft SQL Server
DEV82,Bash/Shell;C;C++;Go;Groovy;Python;Ansible;Docker;Git;Yarn;Angular;React.js;Google Cloud Platform;MySQL;PostgreSQL;SQLite
DEV83,Bash/Shell;Perl;R;SQL;DigitalOcean;Google Cloud Platform;IBM DB2;Oracle
DEV84,C#;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript;Docker;Git;Kubernetes;Unity 3D;Unreal Engine;ASP.NET;ASP.NET Core ;Django;React.js;AWS;Couchbase;Elasticsearch;MySQL;SQLite
DEV85,Python;Docker;Git;Django;Flask;AWS;DigitalOcean;PostgreSQL
DEV86,C;Go;Perl;Python;Git;Kubernetes;Terraform;Google Cloud Platform;MySQL;PostgreSQL;Redis
DEV87,APL;Erlang;Go;Python;Chef;Git;Kubernetes;Flask;IBM Cloud or Watson
DEV88,Elixir;HTML/CSS;JavaScript;Ruby;Docker;Git;React.js;Ruby on Rails;AWS;DigitalOcean;Heroku;MySQL;PostgreSQL;Redis
DEV89,C#;C++
DEV90,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Unity 3D;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Spring;Vue.js;Heroku;Microsoft Azure;Firebase;Microsoft SQL Server;MySQL
DEV91,HTML/CSS;Java;JavaScript;Node.js;SQL;Git;jQuery;React.js;Spring;AWS;Elasticsearch;MySQL;PostgreSQL
DEV92,HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Express;Vue.js;Couchbase
DEV93,Bash/Shell;Java;Python;SQL;Docker;Git;AWS;MySQL
DEV94,Bash/Shell;Ruby;SQL;Git;Oracle
DEV95,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;Terraform;React.js;Vue.js;DigitalOcean;Microsoft Azure;MongoDB;PostgreSQL
DEV96,Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL;Git;Flask;jQuery;Vue.js;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;MariaDB;MySQL;SQLite
DEV97,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;TypeScript;Git;Kubernetes;Angular;Angular.js;ASP.NET Core ;Express;React.js;AWS;Google Cloud Platform;Firebase
DEV98,Bash/Shell;JavaScript;Python;SQL;Docker;Git;Kubernetes;Flask;AWS;Google Cloud Platform;Elasticsearch;Firebase;Microsoft SQL Server;PostgreSQL
DEV99,C#;C++;Python;Git;Django;React.js;AWS
DEV100,HTML/CSS;JavaScript;Node.js;TypeScript;Deno;Docker;Git;Yarn;Angular;Angular.js;Express;FastAPI;Gatsby;React.js;Svelte;Vue.js;AWS;DigitalOcean;Heroku;Firebase;MongoDB;MySQL;PostgreSQL;Redis
DEV101,Bash/Shell;Go;JavaScript;Node.js;Python;Docker;Git;React.js;Google Cloud Platform;MongoDB;PostgreSQL
DEV102,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;ASP.NET;jQuery;Vue.js;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server
DEV103,Bash/Shell;HTML/CSS;JavaScript;PHP;Git;jQuery;Laravel;Svelte;Vue.js;MySQL;SQLite
DEV104,Bash/Shell;Haskell;Rust;Ansible;Docker;Git;Kubernetes;PostgreSQL
DEV105,C;C#;Crystal;JavaScript;PHP;PowerShell;Python;SQL;VBA;Git;ASP.NET;ASP.NET Core ;jQuery;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL
DEV106,Bash/Shell;C;Git;Puppet;SQLite
DEV107,C;C++;HTML/CSS;Objective-C;Python;Swift;Docker;Git;MySQL;PostgreSQL;SQLite
DEV108,Bash/Shell;Groovy;Java;JavaScript;Git;jQuery;Spring;Elasticsearch;MongoDB
DEV109,C#;Git;Microsoft SQL Server
DEV110,Bash/Shell;PowerShell;Ansible;Git;DigitalOcean;Oracle;PostgreSQL
DEV111,Java;SQL;Unity 3D;jQuery;MySQL;Oracle
DEV112,C#;C++;HTML/CSS;JavaScript;TypeScript;Git;Xamarin;Yarn;ASP.NET Core ;React.js;MySQL;PostgreSQL
DEV113,Bash/Shell;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript;Git;Express;DigitalOcean;Heroku;MongoDB;MySQL;SQLite
DEV114,Bash/Shell;JavaScript;Ruby;Flow;Git;Kubernetes;React.js;Ruby on Rails;AWS;PostgreSQL;Redis
DEV115,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;jQuery;Microsoft SQL Server
DEV116,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript;Docker;Git;Angular;Flask;Spring;AWS;DynamoDB;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis
DEV117,Python;Rust;Docker;Git;Kubernetes;FastAPI;Flask;AWS;MongoDB;PostgreSQL
DEV118,JavaScript;PHP;SQL;Laravel;Vue.js;MySQL
DEV119,HTML/CSS;JavaScript;Python;ASP.NET;AWS
DEV120,Bash/Shell;JavaScript;Node.js;Ruby;TypeScript;Chef;Docker;Git;AWS;Couchbase;DynamoDB;Elasticsearch;MongoDB
DEV121,Bash/Shell;Kotlin;Python;Rust;Git
DEV122,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL
DEV123,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PowerShell;Python;SQL;TypeScript;Git;Yarn;Express;jQuery;React.js;Heroku;Firebase;MongoDB
DEV124,C#;HTML/CSS;JavaScript;Node.js;PHP;TypeScript;Docker;Git;jQuery;React.js;Symfony;MySQL
DEV125,C++;HTML/CSS;JavaScript;Node.js;Git;Angular;React.js;AWS;Heroku;Microsoft Azure;MySQL;SQLite
DEV126,HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Docker;Git;Yarn;Angular;Express;React.js;Vue.js;AWS;Microsoft Azure;DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis
DEV127,Python;Git
DEV128,C;C#;Matlab;Python;Git;AWS;PostgreSQL
DEV129,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;Docker;Git;jQuery;Symfony;MariaDB;MySQL;Oracle;PostgreSQL;Redis;SQLite
DEV130,Bash/Shell;C;C++;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Docker;Git;Yarn;Django;Express;FastAPI;Flask;React.js;AWS;DigitalOcean;Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite
DEV131,C;C#;C++;Go;JavaScript;Node.js;Objective-C;Swift;TypeScript;Unity 3D;Unreal Engine;Angular;Google Cloud Platform;Heroku;MariaDB;SQLite
DEV132,HTML/CSS;JavaScript;Ruby;SQL;TypeScript;Git;Yarn;React.js;Ruby on Rails;Microsoft Azure;PostgreSQL
DEV133,Python;AWS;Microsoft Azure
DEV134,C#;HTML/CSS;JavaScript;SQL;Git;Yarn;ASP.NET;ASP.NET Core ;React.js;Heroku;Microsoft Azure;Microsoft SQL Server
DEV135,C#;Kotlin;SQL;Docker;Unity 3D;ASP.NET Core ;MariaDB;Oracle;PostgreSQL;Redis;SQLite
DEV136,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript;Docker;Git;React.js;AWS;DynamoDB;PostgreSQL
DEV137,Java;Spring;Firebase;MySQL;Oracle;SQLite
DEV138,C#;HTML/CSS;Java;JavaScript;SQL;React.js;AWS;Microsoft SQL Server
DEV139,C#;Dart;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;Git;Kubernetes;Express;React.js;AWS;Google Cloud Platform;Firebase;PostgreSQL
DEV140,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL;Git;Gatsby;jQuery;Laravel;Vue.js;Heroku;Oracle Cloud Infrastructure;MariaDB;MySQL;PostgreSQL;SQLite
DEV141,C;Python;Git;PostgreSQL
DEV142,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript;Git;Yarn;Express;Vue.js;DigitalOcean;MariaDB
DEV143,Python;R;SQL;Git;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server
DEV144,Kotlin;Git;Ruby on Rails;Google Cloud Platform;PostgreSQL
DEV145,Python;Rust;Git;Puppet
DEV146,Bash/Shell;C++;HTML/CSS;Python;SQL;VBA;Oracle
DEV147,C#;HTML/CSS;JavaScript;PowerShell;SQL;Angular.js;ASP.NET;jQuery;Vue.js;Microsoft Azure;Microsoft SQL Server;MySQL
DEV148,Python;SQL;PostgreSQL
DEV149,C#;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;Docker;Git;Kubernetes;Yarn;Angular;jQuery;React.js;Symfony;Elasticsearch;MariaDB;MongoDB;MySQL
DEV150,Assembly;Bash/Shell;C;C++;Dart;Groovy;HTML/CSS;Java;JavaScript;LISP;Node.js;Python;Ruby;SQL;TypeScript;Docker;Git;Yarn;Express;Gatsby;jQuery;React.js;Ruby on Rails;AWS;Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis
DEV151,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;Git;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server
DEV152,HTML/CSS;JavaScript;PHP;SQL;VBA;Microsoft Azure
DEV153,SQL;VBA;IBM DB2
DEV154,Java;Python;TypeScript;Git;Angular;Django;Spring;MySQL;SQLite
DEV155,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;AWS;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL
DEV156,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;jQuery;Vue.js;Microsoft SQL Server
DEV157,C;C#;C++;Go;JavaScript;PowerShell;Python;TypeScript;Docker;Git;Kubernetes;Xamarin;ASP.NET;ASP.NET Core ;Microsoft Azure;Cassandra;Firebase;Microsoft SQL Server;PostgreSQL;Redis;SQLite
DEV158,Bash/Shell;C;C++;Matlab;Python;Microsoft Azure
DEV159,JavaScript;PHP;Python;SQL;Git;Django;jQuery;AWS;MySQL;PostgreSQL;SQLite
DEV160,Swift;Git;AWS
DEV161,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Yarn;ASP.NET Core ;Express;Vue.js;Microsoft Azure;Microsoft SQL Server;PostgreSQL;Redis;SQLite
DEV162,C;C++;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;Git;Django;Express;Flask;jQuery;Laravel;React.js;Google Cloud Platform;Heroku;MongoDB;MySQL
DEV163,Bash/Shell;C#;Delphi;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;VBA;Ansible;Docker;Git;Kubernetes;Xamarin;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;jQuery;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;Microsoft SQL Server;Redis;SQLite
DEV164,R;SQL;VBA;Microsoft SQL Server;Oracle
DEV165,C#;SQL;Microsoft SQL Server;MySQL
DEV166,C#;HTML/CSS;Python;TypeScript;VBA;Git;jQuery
DEV167,Bash/Shell;C#;HTML/CSS;JavaScript;SQL;Docker;Git;ASP.NET Core ;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL
DEV168,C#;C++;JavaScript;PHP;Git;Unity 3D;Unreal Engine;ASP.NET Core ;Microsoft Azure;Redis
DEV169,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Kubernetes;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;Redis;SQLite
DEV170,HTML/CSS;JavaScript;PHP;Git;jQuery;Laravel;Vue.js;DigitalOcean;Elasticsearch;MySQL;Redis;SQLite
DEV171,HTML/CSS;JavaScript;PHP;Git;jQuery;Laravel;Vue.js;DigitalOcean;MariaDB;Redis
DEV172,Bash/Shell;C;HTML/CSS;JavaScript;Python;Ruby;SQL;Docker;Git;Kubernetes;Yarn;Django;Flask;Ruby on Rails;Vue.js;Google Cloud Platform;MariaDB;MySQL;PostgreSQL;Redis;SQLite
DEV173,HTML/CSS;Java;JavaScript;Node.js;TypeScript;Docker;Git;Angular;Angular.js;jQuery
DEV174,Bash/Shell;Go;JavaScript;Node.js;Rust;Docker;Git;Kubernetes;Express;AWS;MongoDB
DEV175,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;Microsoft SQL Server
DEV176,C++
DEV177,C#;HTML/CSS;JavaScript;SQL;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;MySQL;SQLite
DEV178,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL;Git;Flask;Vue.js;AWS;MySQL;SQLite
DEV179,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL;Docker;Git;Django;Flask;jQuery;AWS;Microsoft Azure;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite
DEV180,C#;SQL;VBA;Microsoft SQL Server
DEV181,HTML/CSS;JavaScript;Node.js;Python;Docker;Git;Yarn;jQuery;React.js;Vue.js;Heroku
DEV182,Bash/Shell;R;Git;AWS;PostgreSQL
DEV183,HTML/CSS;JavaScript;Node.js;Python;SQL;Git;React.js;AWS;Google Cloud Platform;PostgreSQL
DEV184,Bash/Shell;C;Python;Docker;Git;Django;Flask;jQuery;React.js;PostgreSQL;SQLite
